candle_begin_time,total_mcap
2021-12-01,1080977744339.2195
2021-12-02,1066829261573.9432
2021-12-03,1012490599978.6287
2021-12-04,929467386769.6898
2021-12-05,932695365142.3951
2021-12-06,956034989169.5057
2021-12-07,958255017398.4906
2021-12-08,954563968897.1279
2021-12-09,900835068960.1239
2021-12-10,892777676312.2839
2021-12-11,932873019895.8364
2021-12-12,946823114554.817
2021-12-13,883345705454.1046
2021-12-14,914495908798.8324
2021-12-15,924244252416.8536
2021-12-16,901005821507.5302
2021-12-17,873389147689.212
2021-12-18,885650029984.1796
2021-12-19,883011296029.5131
2021-12-20,886331446164.8633
2021-12-21,925255868119.2734
2021-12-22,919476035254.1006
2021-12-23,960290824999.5784
2021-12-24,961051547919.025
2021-12-25,953678082632.8315
2021-12-26,960899995734.9443
2021-12-27,957746390396.1176
2021-12-28,900076230596.968
2021-12-29,878478755241.5775
2021-12-30,892386327928.8793
2021-12-31,875939356678.7805
2022-01-01,902104193384.6082
2022-01-02,895688387523.1361
2022-01-03,878946596803.0674
2022-01-04,868383282082.0413
2022-01-05,824368284529.819
2022-01-06,816685390313.2217
2022-01-07,786389774193.7616
2022-01-08,789758782727.0166
2022-01-09,793156354743.9938
2022-01-10,791484886193.626
2022-01-11,808834801011.0979
2022-01-12,831836978396.0137
2022-01-13,806189762638.4678
2022-01-14,815850639036.0876
2022-01-15,817364571824.3966
2022-01-16,816211499220.9878
2022-01-17,799910089279.1941
2022-01-18,802313747480.1338
2022-01-19,790406427117.5759
2022-01-20,770304579439.0167
2022-01-21,690368973093.3303
2022-01-22,663374008017.022
2022-01-23,687012848062.3298
2022-01-24,694196560316.8964
2022-01-25,699907393886.03
2022-01-26,698006361955.8102
2022-01-27,703456873492.6144
2022-01-28,715731622071.2427
2022-01-29,722469136409.9818
2022-01-30,718325967803.3823
2022-01-31,729073641687.6708
2022-02-01,734039224254.8795
2022-02-02,700155817835.8898
2022-02-03,704010232687.4524
2022-02-04,786396684547.6376
2022-02-05,785297889647.9923
2022-02-06,803744511638.3496
2022-02-07,830838884165.0569
2022-02-08,836154543908.3785
2022-02-09,840369284541.107
2022-02-10,825745116529.9429
2022-02-11,803848273502.6519
